2025-09-29 14:17:14 | Alerta: 140 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:17:16 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:17:23 | Alerta: 140 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:17:26 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:22:30 | Alerta: 140 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:22:33 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:23:59 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:24:02 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:25:50 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:25:52 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:30:57 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:31:00 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:34:18 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:34:21 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:39:27 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:39:29 | Alerta: 139 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:46:06 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:46:09 | Alerta: 138 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:47:35 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:47:37 | Alerta: 138 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:48:41 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:48:43 | Alerta: 138 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:48:49 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:48:52 | Alerta: 138 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:49:05 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:49:07 | Alerta: 138 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:49:37 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:49:39 | Alerta: 138 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:54:44 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
2025-09-29 14:54:46 | Alerta: 138 estudiantes inactivos | admin@academia.com, coordinador@academia.com
2025-09-29 14:58:18 | Alerta: 139 estudiantes con baja asistencia | admin@academia.com, coordinador@academia.com
